stem,plate,label,length_px,signal_mean,signal_frac,straightness,signal_p25
P23_B03_ACT104_EGFR,PLATE_23,0,43.62499225361385,149.41071428571428,1.0,0.9315222009404512,150.0
P23_B03_ACT104_EGFR,PLATE_23,1,183.18500755133613,149.7704918032787,1.0,0.996008223110175,150.0
P23_B03_ACT104_EGFR,PLATE_23,1,37.770086801093306,149.30434782608697,1.0,0.9271269921644626,150.0
P23_B03_ACT104_EGFR,PLATE_23,1,296.2682324588649,149.0,1.0,0.9643432677901131,150.0
P23_B03_ACT104_EGFR,PLATE_23,1,740.8104662041783,132.04098360655738,1.0,0.0,118.0
P23_B03_ACT104_EGFR,PLATE_23,1,769.2893655813901,132.38303341902315,1.0,0.0,118.0
P23_B03_ACT104_EGFR,PLATE_23,0,159.81333417254683,145.84615384615384,1.0,0.0,150.0
P23_B03_ACT104_EGFR,PLATE_23,1,50.91636644644747,121.92156862745098,1.0,0.9951184803247891,112.0
P23_B03_ACT104_EGFR,PLATE_23,1,29.299225028167797,123.83333333333333,1.0,0.9951232710173914,87.5
P23_B03_ACT104_EGFR,PLATE_23,0,38.82835517723347,150.0,1.0,0.38363645696754967,150.0
P23_B03_ACT104_EGFR,PLATE_23,0,299.2601437560451,143.40594059405942,1.0,0.0,143.0
P23_B03_ACT104_EGFR,PLATE_23,0,204.62807804284085,119.35398230088495,1.0,0.0,92.0
P23_B03_ACT104_EGFR,PLATE_23,1,184.85871648003666,149.1236559139785,1.0,0.9944012967200534,150.0
P23_B03_ACT104_EGFR,PLATE_23,0,417.5649828987841,139.70171673819743,1.0,0.12228223759074032,130.0
P23_B03_ACT104_EGFR,PLATE_23,1,498.11982254704066,149.77133655394525,1.0,0.9938233074270564,150.0
P23_B03_ACT104_EGFR,PLATE_23,1,1418.0408333969674,139.94823867721064,1.0,0.028200091289889546,150.0
P23_B03_ACT104_EGFR,PLATE_23,1,634.7757274725799,123.521875,1.0,0.001973668378999853,91.0
P23_B03_ACT104_EGFR,PLATE_23,0,680.0755640605594,133.3248730964467,1.0,0.23303498134576056,133.0
P23_B03_ACT104_EGFR,PLATE_23,0,201.02416893630323,150.0,1.0,0.0,150.0
P23_B03_ACT104_EGFR,PLATE_23,0,40.04015719557748,142.49056603773585,1.0,0.9801755224674662,150.0
P23_B03_ACT104_EGFR,PLATE_23,1,368.64703367236416,131.09782608695653,1.0,0.0,119.0
P23_B03_ACT104_EGFR,PLATE_23,0,997.3379748353292,126.42190016103059,0.9975845410628019,0.09593673737917509,100.0
P23_B03_ACT104_EGFR,PLATE_23,0,188.7134238700482,130.6766917293233,1.0,0.0,112.0
P23_B03_ACT104_EGFR,PLATE_23,0,162.2450779319724,149.33695652173913,1.0,0.0,150.0
P23_B03_ACT104_EGFR,PLATE_23,1,459.13262528134356,136.89419795221843,1.0,0.10206672828080758,137.0
P23_B03_ACT104_EGFR,PLATE_23,1,1021.8909084577069,106.17975402081362,0.9971617786187322,0.10273891027721417,73.0
P23_B03_ACT104_EGFR,PLATE_23,1,263.9447002307436,125.33333333333333,1.0,0.0,102.0
P23_B03_ACT104_EGFR,PLATE_23,0,36.06363689855415,150.0,1.0,0.9128416224823013,150.0
P23_B03_ACT104_EGFR,PLATE_23,1,307.3320989698074,149.78233438485805,1.0,0.6994745315198467,150.0
P23_B03_ACT104_EGFR,PLATE_23,1,537.156425362224,143.5187265917603,1.0,0.9740380265037941,141.0
